"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"MSA","MSA Safety Inc","Common stocks","Mid cap","Industrials","$4,566,894,043","1.53%","USA","Analyze"
"IAA","IAA, Inc.","Common stocks","Mid cap","Industrials","$4,544,183,643","0.00%","USA","Analyze"
"IRT","Independence Realty Trust, Inc","REITs","Mid cap","Real Estate","$4,542,650,267","1.84%","USA","Analyze"
"COLM","Columbia Sportswear","Common stocks","Mid cap","Consumer Discretionary","$4,530,955,713","1.13%","USA","Analyze"
"PRI","Primerica Inc","Common stocks","Mid cap","Financials","$4,524,797,328","1.28%","USA","Analyze"
"LPX","Louisiana Pacific Corp","Common stocks","Mid cap","Materials","$4,489,421,019","1.46%","USA","Analyze"
"UNVR","Univar Solutions, Inc.","Common stocks","Mid cap","Industrials","$4,469,411,996","0.00%","USA","Analyze"
"CHX","ChampionX Corporation","Common stocks","Mid cap","Energy","$4,460,576,167","0.34%","USA","Analyze"
"CMC","Commercial Metals","Common stocks","Mid cap","Materials","$4,443,783,540","1.47%","USA","Analyze"
"OZK","Bank of the Ozarks","Common stocks","Mid cap","Financials","$4,438,782,732","3.21%","USA","Analyze"
"SLGN","Silgan Holdings Inc","Common stocks","Mid cap","Materials","$4,432,016,280","1.50%","USA","Analyze"
"BKH","Black Hills Corp","Common stocks","Mid cap","Utilities","$4,393,747,523","3.42%","USA","Analyze"
"POWI","Power Integrations Inc","Common stocks","Mid cap","Information Technology","$4,383,566,872","0.85%","USA","Analyze"
"CUZ","Cousins Properties Incorporated","REITs","Mid cap","Real Estate","$4,349,850,442","4.23%","USA","Analyze"
"ONB","Old National Bancorp","Common stocks","Mid cap","Financials","$4,303,567,710","3.79%","USA","Analyze"
"HOMB","Home Bancshares Inc","Common stocks","Mid cap","Financials","$4,285,520,803","1.32%","USA","Analyze"
"DKS","Dicks Sporting Inc","Common stocks","Mid cap","Consumer Discretionary","$4,285,070,896","2.44%","USA","Analyze"
"NSA","National Storage Affiliates Trust","REITs","Mid cap","Real Estate","$4,260,591,951","4.05%","USA","Analyze"
"OGS","One Gas Inc","Common stocks","Mid cap","Utilities","$4,241,730,350","3.03%","USA","Analyze"
"SMG","Scotts Miracle Gro","Common stocks","Mid cap","Materials","$4,228,656,503","3.43%","USA","Analyze"
"SLM","Sallie Mae","Common stocks","Mid cap","Financials","$4,221,277,088","2.28%","USA","Analyze"
"HE","Hawaiian Electric Industries Inc","Common stocks","Mid cap","Utilities","$4,217,484,075","2.65%","USA","Analyze"
"HXL","Hexcel Corp","Common stocks","Mid cap","Industrials","$4,200,044,211","0.40%","USA","Analyze"
"NCR","NCR Corp","Common stocks","Mid cap","Information Technology","$4,194,986,000","0.00%","USA","Analyze"
"AMKR","Amkor Technology Inc","Common stocks","Mid cap","Information Technology","$4,183,275,742","1.11%","USA","Analyze"
"QDEL","Quidel Corp","Common stocks","Mid cap","Health Care","$4,181,477,740","0.00%","USA","Analyze"
"EXP","Eagle Materials Inc","Common stocks","Mid cap","Materials","$4,170,232,646","0.91%","USA","Analyze"
"ASGN","ASGN Incorporated","Common stocks","Mid cap","Industrials","$4,169,249,000","0.00%","USA","Analyze"
"NATI","National Instruments Corp","Common stocks","Mid cap","Information Technology","$4,163,461,427","3.43%","USA","Analyze"
"AVT","Avnet Inc","Common stocks","Mid cap","Information Technology","$4,158,311,204","2.33%","USA","Analyze"
